description,label,urgency
"Got an SMS with a weird link and an urgent warning.",Phishing,Low
Email scam tried to steal my personal information.,Phishing,Low
Received a phishing email asking for my login credentials.,Phishing,Low
"Phishing link in an email almost tricked me into giving my password.",Phishing,Low
Fake website mimicking my bank's login page.,Phishing,Low
"Received a text about a package I didn't order, asking for a delivery fee.",Phishing,Low
"Got a weird email from my bank, I think it's phishing.",Phishing,Low
"Suspicious email with a link to reset my password.",Phishing,Low
"Clicked on a link in a text message, it looked strange.",Phishing,Low
"An email is offering a free prize if I click a link.",Phishing,Low
"Got an SMS with a weird link and an urgent warning.",Phishing,Low
Email scam tried to steal my personal information.,Phishing,Low
Received a phishing email asking for my login credentials.,Phishing,Low
"Phishing link in an email almost tricked me into giving my password.",Phishing,Low
Fake website mimicking my bank's login page.,Phishing,Low
"Received a text about a package I didn't order, asking for a delivery fee.",Phishing,Low
"Got a weird email from my bank, I think it's phishing.",Phishing,Low
"Suspicious email with a link to reset my password.",Phishing,Low
"Clicked on a link in a text message, it looked strange.",Phishing,Low
"An email is offering a free prize if I click a link.",Phishing,Low
"Got an SMS with a weird link and an urgent warning.",Phishing,Low
"Scammer called me pretending to be tech support.",Vishing,Low
"Received a call claiming to be from my bank asking for personal details.",Vishing,Medium
"Vishing attempt tried to steal my identity over the phone.",Vishing,Medium
"Phony call convinced me to reveal sensitive data.",Social Engineering,Medium
"I got a call from someone who sounded just like my son, asking for money.",Vishing,High
"My boss sent me a video call asking for an urgent wire transfer, but it wasn't him.",Social Engineering,High
"A popup from 'Microsoft' locked my PC and gave me a number to call.",Vishing,Medium
"My computer screen is blue and says to call 'Windows Support' immediately.",Vishing,Medium
Phone scam tried to trick me into revealing sensitive information.,Vishing,Medium
